@timestamp	auditd.log.AUID	process.executable
Oct 22, 2025 @ 13:08:41.131	victim	/usr/bin/who
Oct 22, 2025 @ 13:08:41.131	victim	/usr/bin/who
Oct 22, 2025 @ 13:08:41.131	victim	/usr/bin/who
Oct 22, 2025 @ 13:08:41.131	victim	/usr/bin/who
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:39.965	victim	/usr/bin/uname
